1897954	npi	तपाईं कहाँबाट हो?	LanguageExpert	2012-10-06 04:07:24	2015-02-03 23:03:41
1897956	npi	शुभ प्रभात!	LanguageExpert	2012-10-06 04:08:49	2013-03-07 15:12:48
1897961	npi	मैले बुझिन।	LanguageExpert	2012-10-06 04:09:44	2013-03-07 15:12:09
1897962	npi	लामो समयसम्म हराउनु भयो नी!	LanguageExpert	2012-10-06 04:11:05	2013-03-07 15:11:39
1897964	npi	बिस्तारै भन्नुस्।	LanguageExpert	2012-10-06 04:12:14	2013-03-07 15:11:19
2234719	npi	तपाईं कस्तो हुनुहुन्छ ?	cjmanders	2013-02-19 18:22:16	2013-02-19 18:22:16
2234721	npi	मलाई ठिक छ ।	cjmanders	2013-02-19 18:23:10	2013-02-19 18:23:10
2234723	npi	तपाईंलाई नि ?	cjmanders	2013-02-19 18:23:37	2013-02-19 18:23:37
2234725	npi	मलाई एक्दम थकाई लाग्यो ।	cjmanders	2013-02-19 18:24:08	2013-02-19 18:24:08
2234727	npi	यो चिज राम्रो छ ।	cjmanders	2013-02-19 18:24:31	2013-02-19 18:24:31
3307643	npi	एस्पेरान्तो, यूरोपेली संगठनको एउटा नयाँ भाषा, अहिलै!	Malape	2014-06-11 04:47:54	2014-06-11 04:48:06
3663284	npi	हामी भविष्य बदल्दै छौँ।	taro	2014-11-28 20:33:52	2023-05-15 00:19:41
3686289	npi	यो पुस्तक हो।	taro	2014-12-10 22:41:25	2023-05-15 00:19:44
3802790	npi	म ब्राजिलबाट हुँ।	taro	2015-01-27 11:55:08	2023-05-15 00:19:46
3834316	npi	चरा आकाशमा छ।	taro	2015-02-02 14:05:25	2023-05-15 00:19:51
3836149	npi	कमसेकम उसलाई पढ्न आउँछ​।	atulatma	2015-02-03 05:13:47	2015-02-03 05:13:47
3836150	npi	मलाई अरु जस्तै साधारण मात्र बन्ने मन छ​।	atulatma	2015-02-03 05:15:33	2015-02-03 05:15:33
3836158	npi	टमले गाउँदैन​।	atulatma	2015-02-03 05:21:13	2015-02-03 05:21:13
3836161	npi	उसको रगत निलो छ​।	atulatma	2015-02-03 05:22:50	2015-02-03 05:22:50
