416367	Where are you going?	8892673	Tu'ux ka bin.
1622	What do you want?	8892678	Ba'ax a k'áat.
9699792	My name is Carlos.	7058040	In k'aaba'e' Carlos.
12458310	Your food is very tasty.	9028901	Jach ki' a janal!
12458337	It is much.	9028888	Ya'ab.
12458339	It's much.	9028888	Ya'ab.
241077	Let's go!	12458344	Ko'one'ex.
241077	Let's go!	12458355	Ko'ox.
408293	What's your name?	12458361	Bix a k’aaba'.
2647340	What are your names?	12458363	Bix a k'aaba'ex.
2543901	What's your husband's name?	12458368	Bix u k'aaba' a wíicham.
12458379	What is the name of your wife?	12458373	Bix u k'aaba' a watan.
2545682	What's your wife's name?	12458373	Bix u k'aaba' a watan.
12458384	What is the name of your brother?	12458380	Bix u k'aaba' a suku'un.
9483823	What's your brother's name?	12458380	Bix u k'aaba' a suku'un.
12458389	What is the name of your sister?	12458386	Bix u k'aaba' a kiik.
1495807	What's your sister's name?	12458386	Bix u k'aaba' a kiik.
12458391	What is the name of your husband?	12458368	Bix u k'aaba' a wíicham.
12458400	What is the name of your child?	12458394	Bix u k'aaba' a paal.
687376	What is your surname?	12458404	Bix a ch'i'ibal k'aaba'.
3373322	What is your nickname?	12458417	Bix a pat k’aaba’.
12458435	What is the name of your father?	12458432	Bix u k'aaba' a yuum.
12458440	What is the name of your mother?	12458436	Bix u k'aaba' a na'tsil.
39002	Open the door.	12894494	Je'ek'abt le joolnajo'.
12894630	Hello there.	12894628	Ma'alob k'iin.
