9845528	mus	Mvt owen mēcin omat, nake estomvtēt tē?	eeyinn	2021-03-16 01:29:49	2021-03-16 16:45:07
9845530	mus	Mēceko emonket, vkerrihcet omvs.	eeyinn	2021-03-16 01:30:47	2021-03-16 16:45:02
9845532	mus	Esvkērretskekon omat, toknawv oceccekos kicakin.	eeyinn	2021-03-16 01:31:19	2021-03-16 16:44:59
9845533	mus	Estonkot hiye-mahekis ometok owisen.	eeyinn	2021-03-16 01:32:49	2021-03-16 16:44:57
9845534	mus	Semvnolvlket owiēs	eeyinn	2021-03-16 01:33:06	2021-03-16 16:45:14
9845535	mus	Mvhayv tat ‘tont respoyen owat, yopvn vlahket vmvhayetv kowen, mvn.	eeyinn	2021-03-16 01:34:53	2021-03-16 16:44:18
9845537	mus	Momen ohrolopē hokkolē tuccēnat make cvrke tatē tat 'Ste-celokke vpakvtēt omēs.	eeyinn	2021-03-16 01:36:18	2021-03-16 16:44:16
9845538	mus	Mont nake rem ētv punvttv hompetv hervkat pvsaten hompaket kakvtēs.	eeyinn	2021-03-16 01:37:21	2021-03-16 16:44:13
9845539	mus	Estvmimvn naket enhēcken momēcet o̜hv̜?	eeyinn	2021-03-16 01:38:24	2021-03-16 16:44:10
9845540	mus	"Hompvs" kican cēpanat mv afke pvpetv emeyacekatēs.	eeyinn	2021-03-16 01:39:29	2021-03-16 16:44:08
9845541	mus	Naken cehocefkvt omv?	eeyinn	2021-03-16 01:39:36	2021-03-16 16:44:06
9845544	mus	Henryetta tvlofvn likiēt os.	eeyinn	2021-03-16 01:42:51	2021-03-16 16:43:58
9845545	mus	Tvlofvn vyetvn ceyacv?	eeyinn	2021-03-16 01:43:00	2021-03-16 16:43:55
9845546	mus	Hvtvm hompetv ceyacv?	eeyinn	2021-03-16 01:43:05	2021-03-16 16:43:21
9845547	mus	Miste hvtke tat hącuset omēs.	eeyinn	2021-03-16 01:43:38	2023-11-30 21:36:13
9845548	mus	Este semvnolvlket omat Ekvn fvsket vpeyet omvtēs.	eeyinn	2021-03-16 01:44:27	2021-03-16 16:43:13
9845549	mus	Nerē tat naket estokemahet omes.	eeyinn	2021-03-16 01:45:42	2021-03-16 16:43:11
9845550	mus	Cenokecvyēt owen owat mowen hiyowet cem aktepkē kowet.	eeyinn	2021-03-16 01:47:12	2021-03-16 16:43:07
9845551	mus	Mowen nak cvkihocat tis, vmapohicvhaneckat tvlkēs.	eeyinn	2021-03-16 01:47:46	2021-03-16 16:43:04
9845552	mus	Mēkusvpkv-cuko ’cēyeccen owat vfvnnake omekot; nak erkenvkv nak makat mvn pohet, mvn lvputket mvn vhēcet mvn liket... cele tis nekeyicē omekot.	eeyinn	2021-03-16 01:48:42	2021-03-16 16:43:02
9845553	mus	Estenlaksekot hvtą stenhorkopekot.	eeyinn	2021-03-16 01:49:38	2021-03-16 16:42:59
9845555	mus	Hiyowat mvnettvlke nake eyacaken omat ē hiyowet o; Nak elvpken, hiyowen ē vpokvkēt ont on, mowis.	eeyinn	2021-03-16 01:51:09	2021-03-16 16:42:57
9845556	mus	Naken oceccen owv, naken escemvniciēt tayv?	eeyinn	2021-03-16 01:51:52	2021-03-16 16:42:54
9845557	mus	Estimvt ’cetotemvtē, cerket onkat cem estvlket?	eeyinn	2021-03-16 01:52:44	2021-03-16 16:42:16
9845558	mus	Hvse orev̨lkv etohkvlketv owēt onkv, nettv tvcak ostat orat mvn hvse hvmkē orekv, mvn vhvn ‘ste-hvpo hayvyat mv noricvyēt o.	eeyinn	2021-03-16 01:53:56	2021-11-27 21:54:47
9845560	mus	Aepuculakat nak-sakkopvnkv ocēskot onkv, nak ’stowis ’sakkopanet, halo tis ‘sakkopanet owvkēt owemvts.	eeyinn	2021-03-16 01:56:37	2021-03-16 16:42:11
9845561	mus	Heyv estet vnhesset os.	eeyinn	2021-03-16 02:00:16	2021-03-16 16:42:08
9845562	mus	Esîket vyēpvtēs.	eeyinn	2021-03-16 02:00:50	2021-03-16 16:42:06
