913650	oci	Pensi, per consequéncia soi.	Sudajaengi	2011-05-29 03:30:57	2012-09-07 16:46:51
1016065	oci	N'avètz en rotge ?	Batko	2011-07-31 22:13:27	2011-08-07 09:56:00
1016067	oci	Lo tornarèi aperar mei tard.	Batko	2011-07-31 22:14:01	2014-03-22 16:54:39
1016068	oci	Podi aver un pauc d'aiga, vos prègui ?	Batko	2011-07-31 22:14:35	2011-08-10 21:54:00
1016071	oci	Cridèc "ajuda" a hauta votz.	Batko	2011-07-31 22:15:48	2011-08-07 09:56:30
1016072	oci	Lo sol accès au vilatge ei peu riu.	Batko	2011-07-31 22:16:52	2011-08-07 09:56:11
1034008	oci	Es la mea question.	Batko	2011-08-09 11:12:07	2011-08-09 11:12:07
1034014	oci	Tot çò que vos cal far, es aténguer.	Batko	2011-08-09 11:13:00	2011-08-09 11:13:00
1034025	oci	Ela es mei fina que non pas el.	Batko	2011-08-09 11:14:09	2011-08-09 11:14:09
1034029	oci	Pr'amor avètz ensajat de vos escapar ?	Batko	2011-08-09 11:14:45	2011-08-09 11:15:01
1034035	oci	As la ruca ?	Batko	2011-08-09 11:16:14	2011-08-09 11:16:14
1034042	oci	Avètz dejà pres vòstras potingas ?	Batko	2011-08-09 11:17:36	2011-08-09 11:17:36
1034051	oci	Degun arriba pas de bolegar la gròssa caisha.	Batko	2011-08-09 11:19:16	2011-08-09 11:19:16
1034055	oci	Lo gojat a set.	Batko	2011-08-09 11:19:58	2011-08-09 11:19:58
1034063	oci	Ma vila nadau es fòrça polida.	Batko	2011-08-09 11:21:19	2011-08-09 11:21:19
1034069	oci	Va tot dret per aquela carrèra.	Batko	2011-08-09 11:21:55	2011-08-09 11:21:55
1034073	oci	N'as pas vist arrén.	Batko	2011-08-09 11:22:27	2011-08-09 11:22:27
1034079	oci	Se cambias 48 oras en minutas, quantas minutas aquò te fa ?	Batko	2011-08-09 11:23:25	2011-08-09 11:23:25
1034086	oci	Totis los dròlles n'aiman pas las pomas.	Batko	2011-08-09 11:25:06	2011-08-09 11:25:06
1034088	oci	Anèm adara !	Batko	2011-08-09 11:25:33	2011-08-09 11:25:33
1034097	oci	Te balharèi un bon conselh.	Batko	2011-08-09 11:26:34	2011-08-09 11:26:51
1034139	oci	Pas nat òmi los pòt pas conéisher, pas nat caçaire neus pòt pas tirar dessús dab prova o plom - Las pensadas son liuras !	Batko	2011-08-09 11:35:59	2011-08-09 11:35:59
1034146	oci	Avisatz vos ! Es dangerós de miar bandat.	Batko	2011-08-09 11:37:47	2011-08-09 11:37:47
1034153	oci	Aqueste film conveng aus dròlles.	Batko	2011-08-09 11:38:55	2011-08-09 11:38:55
1034160	oci	Quants pennies te cal per far una liura ?	Batko	2011-08-09 11:40:04	2011-08-09 11:40:04
1034164	oci	N'èra pas qu'una tintèna.	Batko	2011-08-09 11:40:52	2011-08-09 11:40:52
1034177	oci	En tot léger se pòt aprénguer fòrça mots.	Batko	2011-08-09 11:42:34	2011-08-09 11:42:34
1034182	oci	Se moriscó d'un càncer.	Batko	2011-08-09 11:43:33	2011-08-09 11:43:33
1034183	oci	Se moriscó d'un maishant mau.	Batko	2011-08-09 11:43:45	2011-08-09 11:43:45
1034187	oci	Quant de temps la tempèsta va durar ?	Batko	2011-08-09 11:44:36	2011-08-09 11:44:48
1034192	oci	Deverés te guardar las trunas de valor dins un lòc segur.	Batko	2011-08-09 11:45:35	2011-08-09 11:45:35
1034197	oci	Un jorn de mei qu'es passat.	Batko	2011-08-09 11:47:13	2011-08-09 11:47:13
1034201	oci	Ès mei grand que jo.	Batko	2011-08-09 11:47:48	2011-08-09 11:47:48
1034205	oci	Sa mair l'acompanha tostemps.	Batko	2011-08-09 11:48:26	2011-08-09 11:48:26
1034207	oci	Sèm demorats a casa pr'amor que plavèva.	Batko	2011-08-09 11:48:47	2011-08-09 11:48:47
1034210	oci	Supausi qu'as talent.	Batko	2011-08-09 11:50:15	2011-08-09 11:50:15
1034212	oci	Podi me n'anar adara ?	Batko	2011-08-09 11:50:52	2011-08-09 11:50:52
1034217	oci	Nos a calgut repossar l'amassada pr'amor de la pluèja.	Batko	2011-08-09 11:52:34	2011-08-09 11:52:34
1034219	oci	Dimenge es lo darrèr jorn de la setmana.	Batko	2011-08-09 11:53:15	2011-08-09 11:53:15
1034221	oci	M'an panat l'aparelh fòto dins lo trin.	Batko	2011-08-09 11:53:37	2011-08-09 11:53:37
1034222	oci	Pervéses d'anar a l'estrangèr ?	Batko	2011-08-09 11:54:03	2011-08-09 11:54:03
1034229	oci	T'interessas a las flors ?	Batko	2011-08-09 11:54:46	2011-08-09 11:54:46
